nodejs 23.1.0-1
nodejs-nopt 7.2.0-2
noto-fonts 1:2024.11.01-1
noto-fonts-emoji 1:2.047-1
npm 10.9.0-1
npth 1.7-1
nspr 4.36-1
nss 3.106-1
nsxiv 32-5
nwg-look 0.2.7-1
obsidian 1.7.5-2
obsidian-icon-theme 4.15-3
ocean-sound-theme 6.2.3-1
ocl-icd 2.3.2-2
oh-my-posh 24.0.8-1
oh-my-posh-debug 24.0.8-1
oniguruma 6.9.9-1
openal 1.23.1-2
opencore-amr 0.1.6-2
openexr 3.2.4-1
openjpeg2 2.5.2-1
openssh 9.9p1-2
openssl 3.4.0-1
opus 1.5.2-1
orc 0.4.40-1
osinfo-db 20240701-1
ostree 2024.8-1
otf-fira-mono 2:3.206-4
otf-fira-sans 1:4.301-2
otf-font-awesome 6.6.0-1
p11-kit 0.25.5-1
p7zip 1:17.05-2
pacman 7.0.0.r3.g7736133-1
pacman-contrib 1.10.6-2
pacman-mirrorlist 20240717-1
pacseek 1.8.3-2
pacutils 0.14.0-3
pam 1.6.1-3
pambase 20230918-2
pamixer 1.6-3
pango 1:1.54.0-1
pangomm 2.46.4-1
pangomm-2.48 2.54.0-1
papirus-icon-theme 20240501-1
parted 3.6-2
pass 1.7.4-5
patch 2.7.6-10
pavucontrol 1:6.1-1
pciutils 3.13.0-2
pcre 8.45-4
pcre2 10.44-1
pcsclite 2.3.0-1
perl 5.40.0-1
perl-alien-build 2.83-2
perl-alien-libxml2 0.19-4
perl-capture-tiny 0.48-9
perl-clone 0.47-1
perl-data-dump 1.25-6
perl-dbi 1.645-1
perl-encode-locale 1.05-13
perl-error 0.17029-7
perl-ffi-checklib 0.31-5
perl-file-chdir 0.1011-6
perl-file-listing 6.16-4
perl-file-which 1.27-5
perl-html-parser 3.83-1
perl-html-tagset 3.24-2
perl-http-cookiejar 0.014-3
perl-http-cookies 6.11-2
perl-http-daemon 6.16-4
perl-http-date 6.06-3
perl-http-message 6.46-2
perl-http-negotiate 6.01-14
perl-io-html 1.004-6
perl-io-socket-ssl 2.089-1
perl-json 4.10-2
perl-libwww 6.77-2
perl-log-message 0.08-11
perl-log-message-simple 0.10-11
perl-lwp-mediatypes 6.04-6
perl-lwp-protocol-https 6.14-2
perl-mailtools 2.21-9
perl-net-http 6.23-4
perl-net-ssleay 1.94-2
perl-path-tiny 0.146-2
perl-term-readline-gnu 1.46-4
perl-term-ui 0.50-5
perl-timedate 2.33-7
perl-try-tiny 0.32-2
perl-uri 5.29-1
perl-www-robotrules 6.02-14
perl-xml-libxml 2.0210-2
perl-xml-namespacesupport 1.12-6
perl-xml-parser 2.47-2
perl-xml-sax 1.02-2
perl-xml-sax-base 1.09-6
perl-xml-writer 0.900-4
pet-bin 0.9.0-1
pet-bin-debug 0.9.0-1
phonon-qt6 4.12.0-4
phonon-qt6-vlc 0.12.0-2
picom 12.3-2
pinentry 1.3.1-5
pinta 2.1.2-2
pipewire 1:1.2.6-1
pipewire-alsa 1:1.2.6-1
pipewire-audio 1:1.2.6-1
pipewire-jack 1:1.2.6-1
pipewire-pulse 1:1.2.6-1
pipewire-session-manager 1:1.2.6-1
pixman 0.43.4-1
pkgconf 2.1.1-1
plasma-activities 6.2.3-1
plasma-activities-stats 6.2.3-1
plasma-browser-integration 6.2.3-1
plasma-integration 6.2.3-1
plasma-workspace 6.2.3-1
plasma5support 6.2.3-1
playerctl 2.4.1-4
plocate 1.1.22-3
polkit 125-1
polkit-gnome 0.105-11
polkit-qt6 0.200.0-1
pop-icon-theme 3.5.1-1
pop-launcher 1.2.1.r66.6a1b8b9-1
poppler 24.09.0-4
poppler-data 0.4.12-2
poppler-glib 24.09.0-4
poppler-qt6 24.09.0-4
popt 1.19-2
portaudio 1:19.7.0-3
power-profiles-daemon 0.23-1
prison 6.7.0-1
procps-ng 4.0.4-3
psmisc 23.7-1
pugixml 1.14-1
purpose 6.7.0-1
pwgen 2.08-3
pyprland 2.4.2-0
python 3.12.7-1
python-aiofiles 24.1.0-1
python-argcomplete 3.4.0-1
python-attrs 23.2.0-3
python-autocommand 2.2.2-6
python-beautifulsoup4 4.12.3-2
python-build 1.2.2-1
python-cachecontrol 1:0.14.1-1
python-cachy 0.3.0-10
python-cairo 1.27.0-1
python-cffi 1.17.1-1
python-charset-normalizer 3.4.0-1
python-cleo 2.1.0-2
python-click 8.1.7-3
python-colorama 0.4.6-3
python-crashtest 0.4.1-3
python-cryptography 42.0.8-1
python-dbus 1.3.2-4
python-distlib 0.3.8-2
python-distro 1.9.0-2
python-docopt 0.6.2-13
python-dulwich 0.22.4-1
python-fastjsonschema 2.20.0-1
python-filelock 3.13.3-2
python-flit-core 3.10.1-1
python-gobject 3.50.0-1
python-greenlet 3.1.0-1
python-html5lib 1.1-14
python-idna 3.10-1
python-importlib-metadata 7.2.1-1
python-iniconfig 2.0.0-5
python-installer 0.7.0-8
python-jaraco.classes 3.4.0-1
python-jaraco.context 5.3.0-1
python-jaraco.functools 4.0.2-1
python-jaraco.text 4.0.0-1
python-jeepney 0.8.0-3
python-jsonschema 4.23.0-1
python-jsonschema-specifications 2023.12.1-2
python-keyring 25.2.1-1
python-keyutils 0.6-10
python-lark-parser 1.1.9-3
python-libsass 0.23.0-2
python-libsass-debug 0.23.0-2
python-lockfile 0.12.2-13
python-mako 1.3.6-1
python-markdown 3.7-1
python-markupsafe 2.1.5-2
python-materialyoucolor-git 2.0.9.r3.g85099ce-1
python-materialyoucolor-git-debug 2.0.9.r3.g85099ce-1
python-more-itertools 10.3.0-1
python-msgpack 1.0.5-2
python-nautilus 4.0-3
python-ordered-set 4.1.0-5
python-packaging 24.1-1
python-pexpect 4.9.0-2
python-pillow 11.0.0-1
python-pip 24.3.1-1
python-pkginfo 1.10.0-1
python-platformdirs 4.3.6-1
python-pluggy 1.5.0-1
python-poetry 1.8.4-1
python-poetry-core 1.9.0-5
